Spp_jetz;animal;Imports
Anthracothorax_prevostii;Anthracothorax_prevostii;13
Anthracothorax_veraguensis;Anthracothorax_veraguensis;27
Aprosmictus_erythropterus;Aprosmictus_erythropterus;17175
Aprosmictus_jonquillaceus;Aprosmictus_jonquillaceus;3354
Aquila_adalberti;Aquila_adalberti;1
Aquila_africanus;Aquila_africanus;15
Aquila_audax;Aquila_audax;19
Aquila_chrysaetos;Aquila_chrysaetos;1266
Aquila_clanga;Aquila_clanga;25
Aquila_fasciatus;Aquila_fasciatus;154
Aquila_heliaca;Aquila_heliaca;69
Aquila_nipalensis;Aquila_nipalensis;256
Aquila_pomarina;Aquila_pomarina;14
Aquila_rapax;Aquila_rapax;1171
Aquila_verreauxii;Aquila_verreauxii;177
Aquila_wahlbergi;Aquila_wahlbergi;102
Ara_ambiguus;Ara_ambiguus;837
Ara_ararauna;Ara_ararauna;119510
Ara_chloropterus;Ara_chloropterus;70972
Ara_glaucogularis;Ara_glaucogularis;1149
Ara_macao;Ara_macao;10458
Ara_militaris;Ara_militaris;2480
Ara_rubrogenys;Ara_rubrogenys;1437
Ara_severus;Ara_severus;14993
Aratinga_acuticaudata;Aratinga_acuticaudata;253447
Aratinga_aurea;Aratinga_aurea;81911
Aratinga_auricapillus;Aratinga_auricapillus;2605
Aratinga_cactorum;Aratinga_cactorum;83
Aratinga_canicularis;Aratinga_canicularis;22908
Aratinga_chloroptera;Aratinga_chloroptera;112
Aratinga_erythrogenys;Aratinga_erythrogenys;90873
Aratinga_euops;Aratinga_euops;34
Aratinga_finschi;Aratinga_finschi;3373
Aratinga_holochlora;Aratinga_holochlora;6992
Aratinga_jandaya;Aratinga_jandaya;39590
Aratinga_leucophthalma;Aratinga_leucophthalma;75613
Aratinga_mitrata;Aratinga_mitrata;234569
Aratinga_nana;Aratinga_nana;3611
Aratinga_pertinax;Aratinga_pertinax;39134
Aratinga_solstitialis;Aratinga_solstitialis;117830
Aratinga_wagleri;Aratinga_wagleri;92043
Aratinga_weddellii;Aratinga_weddellii;21791
Archilochus_colubris;Archilochus_colubris;3
Ardea_goliath;Ardea_goliath;104
Ardeotis_arabs;Ardeotis_arabs;88
Ardeotis_kori;Ardeotis_kori;423
Argusianus_argus;Argusianus_argus;608
Asio_abyssinicus;Asio_abyssinicus;20
Asio_capensis;Asio_capensis;149
Asio_flammeus;Asio_flammeus;289
Asio_otus;Asio_otus;637
Astrapia_mayeri;Astrapia_mayeri;10
Astrapia_splendidissima;Astrapia_splendidissima;2
Astrapia_stephaniae;Astrapia_stephaniae;1
Athene_brama;Athene_brama;28
Athene_cunicularia;Athene_cunicularia;2589
Athene_noctua;Athene_noctua;2464
Atthis_ellioti;Atthis_ellioti;48
Aviceda_cuculoides;Aviceda_cuculoides;12
Aythya_nyroca;Aythya_nyroca;344
Balaeniceps_rex;Balaeniceps_rex;196
Balearica_pavonina;Balearica_pavonina;8791
Balearica_regulorum;Balearica_regulorum;8082
Barnardius_zonarius;Barnardius_zonarius;22515
Bolbopsittacus_lunulatus;Bolbopsittacus_lunulatus;204
Bolborhynchus_ferrugineifrons;Bolborhynchus_ferrugineifrons;66
Bolborhynchus_lineola;Bolborhynchus_lineola;38959
Bolborhynchus_orbygnesius;Bolborhynchus_orbygnesius;5717
Bombycilla_japonica;Bombycilla_japonica;11547
Bostrychia_hagedash;Bostrychia_hagedash;574
Bostrychia_rara;Bostrychia_rara;9
Branta_canadensis;Branta_canadensis;183
Branta_ruficollis;Branta_ruficollis;4058
Branta_sandvicensis;Branta_sandvicensis;1276
Brotogeris_chiriri;Brotogeris_chiriri;87731
Brotogeris_chrysoptera;Brotogeris_chrysoptera;10240
Brotogeris_cyanoptera;Brotogeris_cyanoptera;4067
Brotogeris_jugularis;Brotogeris_jugularis;10097
Brotogeris_pyrrhoptera;Brotogeris_pyrrhoptera;132038
Brotogeris_sanctithomae;Brotogeris_sanctithomae;5818
Brotogeris_tirica;Brotogeris_tirica;758
Brotogeris_versicolurus;Brotogeris_versicolurus;10455
Bubalornis_albirostris;Bubalornis_albirostris;121
Bubo_africanus;Bubo_africanus;551
Bubo_ascalaphus;Bubo_ascalaphus;37
Bubo_bengalensis;Bubo_bengalensis;21
