"","tip","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id"
"33","Acrocephalus baeticatus","Acrocephalus baeticatus","ARW1","","Haemoproteus","Acrocephalus baeticatus","Acrocephalus_baeticatus","yes","Acrocephalus baeticatus","ARW1 Acrocephalus baeticatus"
"34","Acrocephalus baeticatus","Acrocephalus baeticatus","MW1","","Haemoproteus","Acrocephalus baeticatus","Acrocephalus_baeticatus","yes","Acrocephalus baeticatus","MW1 Acrocephalus baeticatus"
"35","Acrocephalus dumetorum","Acrocephalus dumetorum","SW2","","Plasmodium","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","SW2 Acrocephalus dumetorum"
"36","Acrocephalus dumetorum","Acrocephalus dumetorum","MW1","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","MW1 Acrocephalus dumetorum"
"37","Acrocephalus dumetorum","Acrocephalus dumetorum","ACDUM4","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM4 Acrocephalus dumetorum"
"38","Acrocephalus dumetorum","Acrocephalus dumetorum","ACDUM3","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM3 Acrocephalus dumetorum"
"39","Acrocephalus dumetorum","Acrocephalus dumetorum","ACDUM1","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM1 Acrocephalus dumetorum"
"40","Acrocephalus dumetorum","Acrocephalus dumetorum","ACDUM2","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM2 Acrocephalus dumetorum"
"41","Acrocephalus dumetorum","Acrocephalus dumetorum","ACDUM5","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM5 Acrocephalus dumetorum"
"42","Acrocephalus paludicola","Acrocephalus paludicola","SYBOR02","","Plasmodium","Acrocephalus paludicola","Acrocephalus_paludicola","yes","Acrocephalus paludicola","SYBOR02 Acrocephalus paludicola"
"43","Acrocephalus paludicola","Acrocephalus paludicola","TURDUS1","","Plasmodium","Acrocephalus paludicola","Acrocephalus_paludicola","yes","Acrocephalus paludicola","TURDUS1 Acrocephalus paludicola"
"44","Acrocephalus paludicola","Acrocephalus paludicola","SW2","","Plasmodium","Acrocephalus paludicola","Acrocephalus_paludicola","yes","Acrocephalus paludicola","SW2 Acrocephalus paludicola"
"45","Acrocephalus palustris","Acrocephalus palustris","WW2","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","WW2 Acrocephalus palustris"
"46","Acrocephalus palustris","Acrocephalus palustris","RW3","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","RW3 Acrocephalus palustris"
"47","Acrocephalus palustris","Acrocephalus palustris","SGS1","","Plasmodium","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","SGS1 Acrocephalus palustris"
"48","Acrocephalus palustris","Acrocephalus palustris","ARW1","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","ARW1 Acrocephalus palustris"
"49","Acrocephalus palustris","Acrocephalus palustris","SW1","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","SW1 Acrocephalus palustris"
"50","Acrocephalus palustris","Acrocephalus palustris","MW1","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","MW1 Acrocephalus palustris"
"51","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","RW1","MAPH2","Haemoproteus","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","RW1 Acrocephalus schoenobaenus"
"52","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","GRW02","","Plasmodium","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","GRW02 Acrocephalus schoenobaenus"
"53","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","SW1","","Haemoproteus","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","SW1 Acrocephalus schoenobaenus"
"54","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","GRW04","","Plasmodium","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","GRW04 Acrocephalus schoenobaenus"
"55","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","WW2","","Haemoproteus","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","WW2 Acrocephalus schoenobaenus"
"56","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","SW5","","Plasmodium","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","SW5 Acrocephalus schoenobaenus"
"57","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","ROBIN1","","Haemoproteus","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","ROBIN1 Acrocephalus schoenobaenus"
"58","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","SW2","","Plasmodium","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","SW2 Acrocephalus schoenobaenus"
"59","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","SGS1","","Plasmodium","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","SGS1 Acrocephalus schoenobaenus"
"60","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","SW3","","Haemoproteus","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","yes","Acrocephalus schoenobaenus","SW3 Acrocephalus schoenobaenus"
"61","Acrocephalus scirpaceus","Acrocephalus scirpaceus","SGS1","","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","SGS1 Acrocephalus scirpaceus"
"62","Acrocephalus scirpaceus","Acrocephalus scirpaceus","SW1","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","SW1 Acrocephalus scirpaceus"
"63","Acrocephalus scirpaceus","Acrocephalus scirpaceus","WW1","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","WW1 Acrocephalus scirpaceus"
"64","Acrocephalus scirpaceus","Acrocephalus scirpaceus","GRW04","","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","GRW04 Acrocephalus scirpaceus"
"65","Acrocephalus scirpaceus","Acrocephalus scirpaceus","GRW06","MAPP1","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","GRW06 Acrocephalus scirpaceus"
"66","Acrocephalus scirpaceus","Acrocephalus scirpaceus","RTSR1","","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","RTSR1 Acrocephalus scirpaceus"
"67","Acrocephalus scirpaceus","Acrocephalus scirpaceus","SW5","","Plasmodium","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","SW5 Acrocephalus scirpaceus"
"68","Acrocephalus scirpaceus","Acrocephalus scirpaceus","MW1","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","MW1 Acrocephalus scirpaceus"
"69","Acrocephalus scirpaceus","Acrocephalus scirpaceus","RW2","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","RW2 Acrocephalus scirpaceus"
"70","Acrocephalus scirpaceus","Acrocephalus scirpaceus","WW2","","Haemoproteus","Acrocephalus scirpaceus","Acrocephalus_scirpaceus","yes","Acrocephalus scirpaceus","WW2 Acrocephalus scirpaceus"
