"","tip","X","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","Species3","Order3"
"26","Acrocephalus dumetorum",35,"Acrocephalus dumetorum","SW2","","Plasmodium","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","SW2 Acrocephalus dumetorum","Acrocephalus dumetorum","Passeriformes"
"27","Acrocephalus dumetorum",36,"Acrocephalus dumetorum","MW1","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","MW1 Acrocephalus dumetorum","Acrocephalus dumetorum","Passeriformes"
"28","Acrocephalus dumetorum",37,"Acrocephalus dumetorum","ACDUM4","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM4 Acrocephalus dumetorum","Acrocephalus dumetorum","Passeriformes"
"29","Acrocephalus dumetorum",38,"Acrocephalus dumetorum","ACDUM3","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM3 Acrocephalus dumetorum","Acrocephalus dumetorum","Passeriformes"
"30","Acrocephalus dumetorum",39,"Acrocephalus dumetorum","ACDUM1","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM1 Acrocephalus dumetorum","Acrocephalus dumetorum","Passeriformes"
"31","Acrocephalus dumetorum",40,"Acrocephalus dumetorum","ACDUM2","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM2 Acrocephalus dumetorum","Acrocephalus dumetorum","Passeriformes"
"32","Acrocephalus dumetorum",41,"Acrocephalus dumetorum","ACDUM5","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM5 Acrocephalus dumetorum","Acrocephalus dumetorum","Passeriformes"
"33","Acrocephalus paludicola",42,"Acrocephalus paludicola","SYBOR02","","Plasmodium","Acrocephalus paludicola","Acrocephalus_paludicola","yes","Acrocephalus paludicola","SYBOR02 Acrocephalus paludicola","Acrocephalus paludicola","Passeriformes"
"34","Acrocephalus paludicola",43,"Acrocephalus paludicola","TURDUS1","","Plasmodium","Acrocephalus paludicola","Acrocephalus_paludicola","yes","Acrocephalus paludicola","TURDUS1 Acrocephalus paludicola","Acrocephalus paludicola","Passeriformes"
"35","Acrocephalus paludicola",44,"Acrocephalus paludicola","SW2","","Plasmodium","Acrocephalus paludicola","Acrocephalus_paludicola","yes","Acrocephalus paludicola","SW2 Acrocephalus paludicola","Acrocephalus paludicola","Passeriformes"
