"","tip","lineages","alt_lineages","Species3","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","WJSpecID","Scientific","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","X2010.IUCN.Red.List.category","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","urban","humanDisturbed"
"1","Abroscopus superciliaris","ABSUP01","","Abroscopus superciliaris","Sylviidae","Passeriformes",5,2,3,0,4,12.3,7.4,3.1,2.8,16.6,51.2,6.5,44.5,12.7,42.4,6.48,"Dunning","NA","NO","NA","NA","Shrubland","1","1","Carnivore","Invertivore","Insessorial","-8.11","28.81","9.89","105.19858720000001","2493437.4700000002","Extant",11000,"Abroscopus superciliaris","Abroscopus_superciliaris","S7S8","Leaf-Warblers, Bush-Warblers, Long-tailed Tits","Leaf-Warblers, Bush-Warblers, Long-tailed Tits","Yellow-bellied Warbler","bow11000","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"2","Acanthagenys rufogularis","ACARUF01, CLIPIC01","","Acanthagenys rufogularis","Meliphagidae","Passeriformes",17,5,12,0,4,25.7,11.3,3.7,5,25.1,111.1,25,82.8,23.2,111.4,47.8,"Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Omnivore","Insessorial","-38.86","-16.14","-27.1","133.98445219999999","5976565.2000000002","Extant",7484,"Acanthagenys rufogularis","Acanthagenys_rufogularis","BC7","Honeyeaters","Honeyeaters, Thornbills, Bristlebirds, Australasian Wrens, Allies","Spiny-cheeked Honeyeater","bow07484","LC","BL3","Meliphagidae","Honeyeaters",117,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"3","Acanthiza katherina","ORW1","AP70","Acanthiza katherina","Acanthizidae","Passeriformes",7,2,4,1,2,11.5,5.8,2.4,2.6,18.1,52.1,9.1,42.7,17.6,41.1,7.2,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-19.07","-15.76","-17.760000000000002","144.84860430000001","58196.09","Extant",7560,"Acanthiza katherina","Acanthiza_katherina","BC6","Thornbills, Gerygones","Honeyeaters, Thornbills, Bristlebirds, Australasian Wrens, Allies","Mountain Thornbill","bow07560","LC","BL3","Acanthizidae","Thornbills and gerygones",120,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"4","Acanthorhynchus tenuirostris","ACATEN01","AP33","Acanthorhynchus tenuirostris","Meliphagidae","Passeriformes",20,6,12,2,4,26.8,18.9,2.3,2.7,18,65.6,14.2,54.6,20.6,57.1,10.44,"Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Nectarivore","Insessorial","-43.64","-15","-33.06","147.62288820000001","763502.74","Extant",7471,"Acanthorhynchus tenuirostris","Acanthorhynchus_tenuirostris","BC7","Honeyeaters","Honeyeaters, Thornbills, Bristlebirds, Australasian Wrens, Allies","Eastern Spinebill","bow07471","LC","BL3","Meliphagidae","Honeyeaters",117,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"5","Accipiter badius","ACCBAD01, ACCBAD02","KU81","Accipiter badius","Accipitridae","Accipitriformes",10,4,6,0,8,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.15,"Dunning","NA","NO","NA","NA","Shrubland","2","3","Carnivore","Vertivore","Insessorial","-29.47","46.39","8.23","44.982463899999999","22374973","Extant",4717,"Accipiter badius","Accipiter_badius","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Shikra","bow04717","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"6","Accipiter brevipes","ACCBRE03, ACCBRE02, ACCBRE01","","Accipiter brevipes","Accipitridae","Accipitriformes",8,4,4,0,4,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.48,"Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Generalist","31.19","55.86","45.24","45.327340130000003","2936751.8","Extant",4722,"Accipiter brevipes","Accipiter_brevipes","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Levant Sparrowhawk","bow04722","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"7","Accipiter cooperii","ACCOP01","","Accipiter cooperii","Accipitridae","Accipitriformes",5,2,3,0,4,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.67,"Dunning","NA","NO","NA","NA","Woodland","2","3","Carnivore","Vertivore","Aerial","23.28","53.31","41.25","-100.49122","8393137.0600000005","Extant",4759,"Accipiter cooperii","Accipiter_cooperii","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Cooper's Hawk","bow04759","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"8","Accipiter francesiae","ACCFRA01, ACCFRA02","MDG_L14","Accipiter francesiae","Accipitridae","Accipitriformes",10,2,8,0,9,20.2,13.1,8.7,10.7,48.1,155.8,43.2,112.8,27.8,127.5,136.82,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-25.61","-11.36","-19.489999999999998","46.67125755","519468.81","Extant",4724,"Accipiter francesiae","Accipiter_francesiae","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Frances's Sparrowhawk","bow04724","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","0","1"
"9","Accipiter gentilis","LINN1, BUTBUT03, ACCGEN02, BUBT2, TURDUS1, ACCGEN01, ACCGEN03, BT2","ACGE02, ACGE01, ACGE03","Accipiter gentilis","Accipitridae","Accipitriformes",8,4,4,0,4,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866.04,"Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Generalist","17.100000000000001","70.39","54.91","19.059175889999999","31775270.739999998","Extant",4767,"Accipiter gentilis","Accipiter_gentilis","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Northern Goshawk","bow04767","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"10","Accipiter gularis","ACCGUL01, ACCGUL02, BT7, OTUSCO01, TURDUS1","","Accipiter gularis","Accipitridae","Accipitriformes",5,0,4,1,4,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.66,"Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Insessorial","24.25","59","49.07","117.11192320000001","4785704.92","Extant",4744,"Accipiter gularis","Accipiter_gularis","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Japanese Sparrowhawk","bow04744","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"11","Accipiter madagascariensis","ACCFRA02","MDG_L14","Accipiter madagascariensis","Accipitridae","Accipitriformes",4,2,2,0,4,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.41,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-25.61","-11.95","-19.43","46.689504939999999","476517.51","Extant",4751,"Accipiter madagascariensis","Accipiter_madagascariensis","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Madagascar Sparrowhawk","bow04751","NT","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","0","0"
"12","Accipiter nisus","ACNI06, BUBIBI01, ACNI05, CIAE02, ASOT06, ACNI03, BUTBUT02, ACNI04, ACNI02, ACCNIS04, TURDUS1, BT7, ACNI07, ACCNIS02, ACCNIS05, EMSPO06, ACCNIS01, ACNI1, ACCNIS03, MILANS04","","Accipiter nisus","Accipitridae","Accipitriformes",19,6,13,0,10,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.79,"Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Insessorial","26.9","70.53","54.67","77.285559329999998","23601609.309999999","Extant",4753,"Accipiter nisus","Accipiter_nisus","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Eurasian Sparrowhawk","bow04753","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"13","Accipiter soloensis","ACCSOL01","55","Accipiter soloensis","Accipitridae","Accipitriformes",5,2,3,0,4,25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,39,123.4,164.77,"Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Insessorial","20.239999999999998","47.24","31.97","117.12858900000001","2375886.7400000002","Extant",4723,"Accipiter soloensis","Accipiter_soloensis","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Chinese Goshawk","bow04723","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","0","1"
"14","Accipiter striatus","BT7","","Accipiter striatus","Accipitridae","Accipitriformes",4,2,2,0,4,19.4,10.5,8.7,10.4,49.8,184.2,60,124.2,32.5,144.2,130.59,"Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Aerial","NA","NA","NA","NA","NA","Extant",4755,"Accipiter striatus","Accipiter_striatus","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Sharp-shinned Hawk","bow04755","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"15","Accipiter tachiro","ACCTAC01, PLACAS02","WA15, WA2","Accipiter tachiro","Accipitridae","Accipitriformes",9,4,5,0,5,18,15.3,9.8,12.3,61,222.8,55.6,161.8,25.7,180.3,290.2,"Updated_literature","Jackson (1972); Dunning (2021)","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Aerial","-34.840000000000003","4.53","-12.54","29.901201060000002","5174215.21","Extant",4713,"Accipiter tachiro","Accipiter_tachiro","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","African Goshawk","bow04713","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","0","1"
"16","Accipiter trivirgatus","ACCTRI01","","Accipiter trivirgatus","Accipitridae","Accipitriformes",15,9,4,2,12,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265.04,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-8.85","31.08","13.91","101.70743450000001","3366430.69","Extant",4711,"Accipiter trivirgatus","Accipiter_trivirgatus","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Crested Goshawk","bow04711","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","0","1"
"17","Accipiter virgatus","CIAE02","","Accipiter virgatus","Accipitridae","Accipitriformes",15,9,5,1,13,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,116.99,"Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Generalist","-8.98","35.61","22.08","101.2455545","4398429.71","Extant",4745,"Accipiter virgatus","Accipiter_virgatus","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Besra","bow04745","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","0","1"
"18","Acridotheres ginginianus","STASTR01","P-LIN29","Acridotheres ginginianus","Sturnidae","Passeriformes",6,1,1,4,4,24.4,14.2,5.5,6.7,34.2,120.2,29.1,90.5,24.3,77.5,72,"Dunning","NA","NO","NA","NA","Grassland","3","2","Omnivore","Omnivore","Generalist","18.38","34.46","25.86","78.087431440000003","1641344.88","Extant",9525,"Acridotheres ginginianus","Acridotheres_ginginianus","M4","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Bank Myna","bow09525","LC","BL3","Sturnidae","Starlings",177,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"19","Acridotheres tristis","ORW1, ACTRI02, SCEDEN01, STASTR01, SGS1, GRW04, ZOSLAT02, ACTRI01, ZEMAC01, BELL01, FANTAIL01, MYNA02","P-LIN2, P-LIN29, P22, P15, MYNA01, H-LIN4","Acridotheres tristis","Sturnidae","Passeriformes",12,2,9,1,10,26.8,16,6.4,8,38.6,139.8,32.8,106.3,23.6,84.8,116.43,"Dunning","NA","NO","NA","NA","Human Modified","3","2","Carnivore","Omnivore","Terrestrial","0.81","48.29","27.06","81.587895160000002","8561587.6699999999","Extant",9523,"Acridotheres tristis","Acridotheres_tristis","M4","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Common Myna","bow09523","LC","BL3","Sturnidae","Starlings",177,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"20","Acrocephalus aedon","ACAED01, ACAED02","H-LIN23,H-LIN24, ACAE01","Acrocephalus aedon","Sylviidae","Passeriformes",5,2,3,0,4,17.8,10.8,4.9,5.1,26,78.4,16.9,61.6,21.6,78.6,22.4,"Dunning","NA","NO","NA","NA","Shrubland","3","3","Carnivore","Invertivore","Insessorial","38.72","59.51","50.11","110.5861798","6900163.3200000003","Extant",10827,"Acrocephalus aedon","Acrocephalus_aedon","S11","Old World Warblers I","Old World Warblers I","Thick-billed Warbler","bow10827","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"21","Acrocephalus agricola","GRW04, DELURB4, GRW11, RW2, ACAGR2, ACAGR1, SGS1, SW4, ACDUM2, HIICT1","","Acrocephalus agricola","Sylviidae","Passeriformes",5,2,3,0,4,13.6,7.8,3.2,2.8,21.1,55.2,10.1,44.7,18.4,54.9,9.6,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","35.39","56.93","46.5","71.710623999999996","6560153.7000000002","Extant",10794,"Acrocephalus agricola","Acrocephalus_agricola","S11","Old World Warblers I","Old World Warblers I","Paddyfield Warbler","bow10794","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"22","Acrocephalus arundinaceus","GRW08, ACSTE1, PHSIB1, GRW11, GRW12, GRW14, GRW01, SW2, GRW07, SW5, RW2, SGS1, GRW06, GRW13, GRW05, SYBOR10, GRW03, GRW16, GRW10, GRW15, GRW19, RTSR1, GRW02, PAHIS1, GRW17, GRW18, WW2, GRW09, ORW1, MOALB02, GRW04","isolate 744, P24","Acrocephalus arundinaceus","Sylviidae","Passeriformes",19,8,10,1,8,21.9,12.9,4.6,5.1,27.3,91.1,24.7,66.7,26.8,75,30,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","23.84","63.2","47.42","70.383746970000004","14642510.439999999","Extant",10802,"Acrocephalus arundinaceus","Acrocephalus_arundinaceus","S11","Old World Warblers I","Old World Warblers I","Great Reed-warbler","bow10802","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"23","Acrocephalus baeticatus","ARW2, MW1, RW1, GRW04, ARW1, SW1, GRW06","Clade K, Clade I","Acrocephalus baeticatus","Sylviidae","Passeriformes",5,2,3,0,4,19.5,8.6,3,2.9,20.5,59.1,10.7,47.9,18.2,49.2,10.2,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","NA","NA","NA","NA","NA","Extant",10798,"Acrocephalus baeticatus","Acrocephalus_baeticatus","S11","Old World Warblers I","Old World Warblers I","African Reed Warbler","bow10798","","IOC27","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"24","Acrocephalus dumetorum","MW1, ACDUM3, SW2, ACDUM2, ACDUM1, ACDUM5, ACDUM4","","Acrocephalus dumetorum","Sylviidae","Passeriformes",10,3,5,2,4,16.4,9.2,3.6,3.1,22.3,62.1,12.7,49.6,20.4,53.1,11.2,"Dunning","NA","NO","NA","NA","Wetland","2","3","Carnivore","Invertivore","Insessorial","37.32","64.23","55.04","64.739971980000007","5747941.2800000003","Extant",10800,"Acrocephalus dumetorum","Acrocephalus_dumetorum","S11","Old World Warblers I","Old World Warblers I","Blyth's Reed-warbler","bow10800","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"25","Acrocephalus gracilirostris","LSW1, LSW2, GRW04, PLOVEL01, GRW02","Clade A","Acrocephalus gracilirostris","Sylviidae","Passeriformes",5,2,3,0,4,17.8,9.9,3.5,3.5,23.5,64.7,7.9,55,12.6,59.3,14.4,"Dunning","NA","NO","NA","NA","Wetland","3","1","Carnivore","Invertivore","Insessorial","-34.840000000000003","14.77","-13.82","29.51715518","4809980","Extant",10825,"Acrocephalus gracilirostris","Acrocephalus_gracilirostris","S11","Old World Warblers I","Old World Warblers I","Lesser Swamp-warbler","bow10825","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"26","Acrocephalus griseldis","BRW1","","Acrocephalus griseldis","Sylviidae","Passeriformes",5,2,3,0,4,21.2,12.9,4,3.8,24.2,79.9,23.2,56.4,29.2,64,16.7,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","28.93","34.61","31.95","45.587956390000002","105982.42","Extant",10808,"Acrocephalus griseldis","Acrocephalus_griseldis","S11","Old World Warblers I","Old World Warblers I","Basra Reed-warbler","bow10808","EN","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"27","Acrocephalus melanopogon","PADOM02, GRW11, GRW05","","Acrocephalus melanopogon","Sylviidae","Passeriformes",13,5,8,0,4,12.7,7.2,2.6,2.5,19,56.7,10.9,45.8,19.3,47.8,10.9,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","24.37","49.94","42.27","49.27325493","2304218.81","Extant",10788,"Acrocephalus melanopogon","Acrocephalus_melanopogon","S11","Old World Warblers I","Old World Warblers I","Moustached Warbler","bow10788","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"28","Acrocephalus mendanae","GRW04","P15","Acrocephalus mendanae","Sylviidae","Passeriformes",9,1,7,1,8,30.1,18.1,5,5.1,30.1,98.8,19.1,79.8,19.3,89.3,36.3,"Updated_literature","BoW","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-10.54","-7.86","-9.3699999999999992","-139.5692798","1071.8800000000001","Extant",10817,"Acrocephalus mendanae","Acrocephalus_mendanae","S11","Old World Warblers I","Old World Warblers I","Marquesan Reed-warbler","bow10817","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"29","Acrocephalus newtoni","ACNEW02, ACNEW01, GRW09, FOMAD01, FOUMAD03, GRW06","MDG_H29, MDG_P03,MDG_P25, MDG_P04, MDG_P27","Acrocephalus newtoni","Sylviidae","Passeriformes",5,2,3,0,4,18.1,10.3,3.7,3.6,25.6,66.5,9.8,56.3,14.9,76.2,17,"Dunning","NA","NO","NA","NA","Wetland","3","1","Carnivore","Invertivore","Insessorial","-25.61","-11.95","-19.38","46.69900938","591120.51","Extant",10826,"Acrocephalus newtoni","Acrocephalus_newtoni","S11","Old World Warblers I","Old World Warblers I","Madagascar Swamp-warbler","bow10826","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"30","Acrocephalus paludicola","SYAT24, GRW06, SW2, GRW02, SW5, TURDUS1, SYBOR02, SYBOR23, GRW04","","Acrocephalus paludicola","Sylviidae","Passeriformes",5,2,3,0,4,12.3,7,2.6,2.9,19.4,62.1,17.7,44.4,28.4,47.2,11.6,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","49.28","56.15","52.09","24.2690217","182586.45","Extant",10789,"Acrocephalus paludicola","Acrocephalus_paludicola","S11","Old World Warblers I","Old World Warblers I","Aquatic Warbler","bow10789","VU","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"31","Acrocephalus palustris","SGS1, RW2, SW2, RW3, MW2, GRW05, ARW1, SW1, CWT4, SYBOR21, RW1, MW1, WW2, MW3","","Acrocephalus palustris","Sylviidae","Passeriformes",17,6,11,0,4,16.1,8.2,3.3,3.3,21.3,68.6,19.2,49.6,27.9,56.5,11.5,"Dunning","NA","NO","NA","NA","Shrubland","2","3","Carnivore","Invertivore","Insessorial","37.03","65.42","51.96","32.355482369999997","5996672.7400000002","Extant",10801,"Acrocephalus palustris","Acrocephalus_palustris","S11","Old World Warblers I","Old World Warblers I","Marsh Warbler","bow10801","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"32","Acrocephalus rufescens","LSW1","","Acrocephalus rufescens","Sylviidae","Passeriformes",5,2,3,0,5,20.7,11.9,4.5,4,27.8,72.3,10.8,61.5,14.9,69,22.72,"Dunning","NA","NO","NA","NA","Wetland","3","1","Carnivore","Invertivore","Insessorial","-20.36","16.89","1.1599999999999999","18.485306319999999","1400095.07","Extant",10823,"Acrocephalus rufescens","Acrocephalus_rufescens","S11","Old World Warblers I","Old World Warblers I","Greater Swamp-warbler","bow10823","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"33","Acrocephalus schoenobaenus","SW5, SW1, SFC8, PHSIB1, SW3, ROBIN1, GRW02, RW1, WW2, SGS1, SW4, MW1, PARUS1, GRW06, GRW04, SW2, TURDUS1, RTSR1","MAPH2, MAPH3","Acrocephalus schoenobaenus","Sylviidae","Passeriformes",17,8,9,0,4,14.9,8.2,2.9,2.8,20.9,65.4,18.4,46.9,28.2,48.9,11.83,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","36.21","71.12","56.04","47.360319799999999","11967937.01","Extant",10791,"Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","S11","Old World Warblers I","Old World Warblers I","Sedge Warbler","bow10791","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"34","Acrocephalus scirpaceus","RW4, SW5, PADOM05, RW1, SGS1, RW2, HIPOL1, ANLAT10, GRW11, WW2, GRW04, REB11, GRW01, RW3, TURDUS2, ARW1, ACDUM2, SW2, SW1, MW1, WW1, RTSR1, GRW10, GRW06, RW5","MAPP1","Acrocephalus scirpaceus","Sylviidae","Passeriformes",17,6,11,0,4,17.4,8.8,3.4,2.8,21.7,67.1,17.4,49.9,25.8,52.2,12.3,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","NA","NA","NA","NA","NA","Extant",10797,"Acrocephalus scirpaceus","Acrocephalus_scirpaceus","S11","Old World Warblers I","Old World Warblers I","Eurasian Reed-warbler","bow10797","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"35","Acrocephalus sechellensis","GRW01","","Acrocephalus sechellensis","Sylviidae","Passeriformes",5,2,3,0,4,17.7,10.2,4,3.3,24,65.8,7.8,58.4,11.8,60.6,15.87,"Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-4.3499999999999996","-4.21","-4.2699999999999996","55.661767740000002","1.59","Extant",10831,"Acrocephalus sechellensis","Acrocephalus_sechellensis","S11","Old World Warblers I","Old World Warblers I","Seychelles Warbler","bow10831","VU","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"36","Acrocephalus stentoreus","BRW1, ACSTE1, GRW03","","Acrocephalus stentoreus","Sylviidae","Passeriformes",13,2,11,0,12,24.6,14.7,4.4,4.6,27.3,80.1,18.2,62.1,22.6,74.5,24.2,"Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Invertivore","Insessorial","5.92","47.28","32.950000000000003","75.169787470000003","4179062.95","Extant",10804,"Acrocephalus stentoreus","Acrocephalus_stentoreus","S11","Old World Warblers I","Old World Warblers I","Clamorous Reed-warbler","bow10804","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"37","Actenoides lindsayi","ACTLIN05, ACTLIN01, ACTLIN06, HALLIN01, ACTLIN04, ACTLIN02, ACTLIN03, ACTLIN07, HALLIN02","78, 43, 80, 81, 77, 44, 42, 79, 54","Actenoides lindsayi","Alcedinidae","Coraciiformes",5,2,3,0,4,46.5,34.6,12.5,13.2,18.3,106,21.4,85.1,20.1,81.2,92.84,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","9.0399999999999991","18.649999999999999","14.77","121.77118489999999","106620.85","Extant",1620,"Actenoides lindsayi","Actenoides_lindsayi","Alcedinidae","Kingfishers, Motmots, Todies","Bee-eaters, Kingfishers, Motmots, Todies, Rollers, Ground-Rollers","Spotted Kingfisher","bow01620","LC","BL3","Alcedinidae","Kingfishers",85,"CORACIIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","0","1"
"38","Actinodura egertoni","TROERY02","ACEGE01","Actinodura egertoni","Timaliidae","Passeriformes",5,2,3,0,4,17.2,8.9,4.3,5.2,28.6,85,9.1,74.6,10.8,112,36,"Dunning","NA","NO","NA","NA","Shrubland","1","1","Omnivore","Invertivore","Insessorial","20.37","29.19","26.14","93.024736809999993","262348.96000000002","Extant",11282,"Actinodura egertoni","Actinodura_egertoni","S13","Whiteyes, Babblers I, Parrotbills","Whiteyes, Babblers, Parrotbills, Old World Warblers II, Allies","Rusty-fronted Barwing","bow11282","LC","BL3","Timaliidae","Babblers and parrotbills",163,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
