"","tip","lineages","alt_lineages","Species3","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","WJSpecID","Scientific","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","X2010.IUCN.Red.List.category","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","urban","humanDisturbed"
"1715","Rhipidura leucophrys","LICVER08","","Rhipidura leucophrys","Rhipiduridae","Passeriformes",21,6,15,0,4,18.1,8.4,5.1,4.1,26.1,99,19.5,81,19.4,101.5,27.44,"Dunning","NA","NO","NA","NA","Woodland","3","1","Carnivore","Invertivore","Insessorial","-39.24","2.65","-23.26","135.13494399999999","8395527.0899999999","Extant",8397,"Rhipidura leucophrys","Rhipidura_leucophrys","CC8","Shrikes, Monarchs, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Willie-wagtail","bow08397","LC","BL3","Rhipiduridae","Fantails",145,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"1716","Rhipidura rufifrons","GRW09, RHIRUF01, FANTAIL01","P46, P32, AP63","Rhipidura rufifrons","Rhipiduridae","Passeriformes",31,11,20,0,8,13.3,6.2,3.9,3.2,19.7,71.1,13.9,58,19.3,85.3,10.08,"Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-39.479999999999997","15.29","-22.79","143.22802849999999","1234196.81","Extant",8427,"Rhipidura rufifrons","Rhipidura_rufifrons","CC8","Shrikes, Monarchs, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Rufous Fantail","bow08427","LC","BL3","Rhipiduridae","Fantails",145,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"1717","Rhipidura rufiventris","FANTAIL03, FANTAIL02","AP23, AP7","Rhipidura rufiventris","Rhipiduridae","Passeriformes",17,5,12,0,7,17,9.1,5.5,4.2,16.1,85,18.5,67.7,21.4,82.1,12,"Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-19.7","0.59","-10.33","137.56622580000001","1729556.25","Extant",8399,"Rhipidura rufiventris","Rhipidura_rufiventris","CC8","Shrikes, Monarchs, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Northern Fantail","bow08399","LC","BL3","Rhipiduridae","Fantails",145,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"1718","Rhipidura verreauxi","ZOSFLA04, MYZCAR06, RHISPI01","SAN007H,TAN002H, MWO031H, EFT019H","Rhipidura verreauxi","Rhipiduridae","Passeriformes",14,5,9,0,8,13.3,6,3.9,3.5,21.2,77.4,16.5,61,21.2,86.8,12.9,"Dunning","NA","NO","NA","NA","NA","1","1","Carnivore","Invertivore","Insessorial","-22.76","-13.5","-18.690000000000001","168.41531520000001","43780.160000000003","Extant",8413,"Rhipidura verreauxi","Rhipidura_verreauxi","CC8","Shrikes, Monarchs, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Streaked Fantail","bow08413","LC","BL3","Rhipiduridae","Fantails",145,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"1719","Rhynchocyclus olivaceus","AUTPAR01","","Rhynchocyclus olivaceus","Tyrannidae","Passeriformes",22,6,7,9,4,16.6,10,8.9,5.7,18,73.9,10.7,60.1,15.2,64.1,21.3,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-22.99","12.46","-2.98","-62.342234179999998","5662675.1399999997","Extant",5965,"Rhynchocyclus olivaceus","Rhynchocyclus_olivaceus","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Olivaceous Flatbill","bow05965","LC","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni","0","0"
"1720","Rhytipterna simplex","RHYSIM01, MYITYR01, PADOM09","","Rhytipterna simplex","Tyrannidae","Passeriformes",28,13,14,1,4,22.7,13.5,7.1,6.4,21.3,96.8,16,79.5,16.8,95.3,31.8,"Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-25.46","10.53","-4.5999999999999996","-61.321212260000003","7376423.2599999998","Extant",6148,"Rhytipterna simplex","Rhytipterna_simplex","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Greyish Mourner","bow06148","LC","BL3","Tyrannidae","Tyrant-flycatchers",105,"PASSERIFORMES","PASSERIFORMES","Tyranni","0","0"
"1721","Rimator malacoptilus","GRW06","P-LIN33","Rimator malacoptilus","Timaliidae","Passeriformes",5,1,0,4,4,24.5,17.4,3,3.7,23.4,57.6,4.4,53.6,7.5,32,19.44,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Terrestrial","23.73","30.01","26.96","94.833785120000002","191024.34","Extant",11156,"Rimator malacoptilus","Rimator_malacoptilus","S13","Whiteyes, Babblers I, Parrotbills","Whiteyes, Babblers, Parrotbills, Old World Warblers II, Allies","Long-billed Wren-babbler","bow11156","LC","BL3","Timaliidae","Babblers and parrotbills",163,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"1722","Riparia paludicola","LINOLI01","Clade C","Riparia paludicola","Hirundinidae","Passeriformes",22,11,11,0,8,9.3,4.3,3,2.4,10.6,97.6,47.6,50,48.7,46.8,13.5,"Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Invertivore","Aerial","-34.840000000000003","38.67","2.41","48.083528790000003","10997907.220000001","Extant",10058,"Riparia paludicola","Riparia_paludicola","S6","Swallows, Martins","Swallows, Martins","Plain Martin","bow10058","LC","BL3","Hirundinidae","Swallows and martins",156,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"1723","Riparia riparia","RIPRIP09, RIPRIP06, RIPRIP02, RIPRIP01, GRW09, GRW02, SGS1, RIPRIP07, CCF2, DENPET03, RIPRIP04, RIPRIP03, RIPRIP10, LAMPUR03, DELURB1, RIPRIP08, SYBOR21, RIPRIP05","B23","Riparia riparia","Hirundinidae","Passeriformes",34,12,21,1,8,9.3,4.6,3.5,2.3,10.6,101.2,53.9,47.4,53.2,48.3,12.68,"Dunning","NA","NO","NA","NA","Riverine","3","3","Carnivore","Invertivore","Aerial","23.73","72.45","52.83","36.390272639999999","42348582.969999999","Extant",10052,"Riparia riparia","Riparia_riparia","S6","Swallows, Martins","Swallows, Martins","Sand Martin","bow10052","LC","BL3","Hirundinidae","Swallows and martins",156,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"1724","Rostrhamus sociabilis","GRW06","","Rostrhamus sociabilis","Accipitridae","Accipitriformes",7,1,6,0,5,33.1,23.8,11.1,11.3,49.9,344.8,134.8,206.7,39.1,169.3,366.94,"Dunning","NA","NO","NA","NA","Wetland","2","2","Carnivore","Aquatic predator","Insessorial","-37.65","29.74","-10.02","-58.231096260000001","11603405.029999999","Extant",4614,"Rostrhamus sociabilis","Rostrhamus_sociabilis","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Snail Kite","bow04614","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","0","0"
