"","Lineage_Name","Alt_Lineage_Name","parasiteGenus"
"376","SETAUD08","","Haemoproteus"
"377","TABI09","","Leucocytozoon"
"378","SETCOR01","","Haemoproteus"
"379","SETAUD05","","Haemoproteus"
"383","SETAUD15","","Haemoproteus"
"385","CNEORN01","L Co1,L smokies","Leucocytozoon"
"386","EMPHAM01","","Leucocytozoon"
"387","COLBF25","","Leucocytozoon"
"388","SETAUD14","","Haemoproteus"
"390","TABI02","","Haemoproteus"
"392","GEOTRI01","","Plasmodium"
"394","MYITYR01","","Plasmodium"
"397","TURMER01","","Haemoproteus"
"400","MASTR01","","Plasmodium"
"406","TUMIG12","","Leucocytozoon"
"407","THAMAE01","","Plasmodium"
"410","TROAED06","","Leucocytozoon"
"411","ZOCAP17","","Haemoproteus"
"413","DIGLAF01","","Plasmodium"
"414","DIGCYA01","SA19","Haemoproteus"
"415","DIGCYA03","SA20","Haemoproteus"
"416","TROAED15","SA15,SA16","Haemoproteus"
"418","DIGCYA02","SA23","Plasmodium"
"420","MYFUM01","L-T011","Leucocytozoon"
"422","DIUDIU12","H01","Haemoproteus"
"424","DIUDIU05","","Haemoproteus"
"430","ICTLEU01","","Haemoproteus"
"432","SPMAG08","","Plasmodium"
"435","DUMCAR02","","Leucocytozoon"
"436","GEOTRI09","","Plasmodium"
"437","MAFUS02","20","Haemoproteus"
"439","DYSMEN05","","Plasmodium"
"441","DYSMEN04","","Plasmodium"
"442","DYSMEN03","","Plasmodium"
"443","TROAED22","","Plasmodium"
"445","ELAALB02","","Leucocytozoon"
"451","MYISWA01","","Haemoproteus"
"452","ELAALB01","","Haemoproteus"
"460","LEPCOR03","","Haemoproteus"
"462","EMCIR01","","Haemoproteus"
"463","CCF2","H032","Haemoproteus"
"468","DUNNO01","","Haemoproteus"
"471","EMCIT01","","Leucocytozoon"
"475","EMSPO01","EMGO03","Haemoproteus"
"477","RB1","","Haemoproteus"
"479","PARUS1","","Haemoproteus"
"482","EMSPO02","","Haemoproteus"
"483","EMBHER01","P12","Plasmodium"
"485","EOPAUS02","AP42","Haemoproteus"
"491","SFC8","H027","Leucocytozoon"
"500","PACPEC02","SA18","Haemoproteus"
"501","EUXAN01","","Haemoproteus"
"502","PADOM01","","Plasmodium"
"504","REB2","","Haemoproteus"
"506","SYBOR10","","Plasmodium"
"508","COLL11","","Plasmodium"
"510","PFC1","","Haemoproteus"
"511","TERUF02","","Plasmodium"
"514","COLL10","","Plasmodium"
"517","COLL3","","Haemoproteus"
"519","COLL7","","Plasmodium"
"520","WW4","","Plasmodium"
"521","LAMPUR03","","Plasmodium"
"523","GRW07","","Plasmodium"
"525","AEMO01","","Plasmodium"
"526","ACCTAC01","","Plasmodium"
"529","RFF1","","Plasmodium"
"532","LBPIP1","","Plasmodium"
"538","PSB1","","Plasmodium"
"546","FICNAR01","","Haemoproteus"
"549","FIPAR02","H-LIN32","Haemoproteus"
"550","FORANA03","FORANA02","Plasmodium"
"551","FOCOL01","FOCOL01","Plasmodium"
"552","FORCOL02","","Plasmodium"
"553","FORCOL07","","Plasmodium"
"554","FORCOL06","","Plasmodium"
"555","FOMEL01","FOMEL01","Plasmodium"
"556","FOSER01","FOSER01","Plasmodium"
"559","RBQ11","H_9","Haemoproteus"
"560","FOUMAD02","H_15A,H_15B","Haemoproteus"
"561","RECOB3","","Leucocytozoon"
"562","FOUMAD03","P_4","Plasmodium"
"565","FOUMAD01","H_7A,H_7B,H_7C,H_7D,H_7E","Haemoproteus"
"570","NEWAM05","BERMAD02_MDG_P08","Plasmodium"
"571","FOUOMI01","MDG_H20","Haemoproteus"
"572","FOUOMI04","MDG_P12","Plasmodium"
"575","FOUOMI02","MDG_L04","Leucocytozoon"
"577","NEWAM03","MDG_L07","Leucocytozoon"
"579","HYPMA02","HYPMA05_MDG_L02","Leucocytozoon"
"584","CCF23","H255","Haemoproteus"
"585","CCF09","H164","Haemoproteus"
"586","CCF6","","Haemoproteus"
"590","CCF5","","Haemoproteus"
"591","CCF1","","Haemoproteus"
"593","CCF4","","Haemoproteus"
"594","BRAM3","H163,H176","Leucocytozoon"
"596","BRAM2","","Leucocytozoon"
"597","FULEU01","FULEU01","Haemoproteus"
"599","GARDEL01","","Haemoproteus"
"600","SHOALB02","","Haemoproteus"
"602","GAGLA05","H181","Haemoproteus"
"603","CIRCUM05","H258","Haemoproteus"
"604","GAGLA02","","Haemoproteus"
"605","GAGLA06","H256","Leucocytozoon"
"610","APSPI03","P12","Plasmodium"
"613","SEINOV01","P4-A,P4-B","Plasmodium"
"616","PACYA01","P13","Plasmodium"
"619","TABI08","P1","Plasmodium"
"623","GRACAR01","GRACAR02","Leucocytozoon"
"624","GRAGUA01","","Plasmodium"
"625","MYRMAX01","","Plasmodium"
"628","MYNA02","CRATOR01","Plasmodium"
"629","TACRUB04","HABRUB02","Plasmodium"
"630","SYBOR11","","Plasmodium"
"632","CNERUB01","HEMFRO01","Haemoproteus"
"633","TANNIG01","","Leucocytozoon"
"634","THRCYA01","","Leucocytozoon"
"637","HETALB03","AP39","Haemoproteus"
"638","HETALB01","AP14","Haemoproteus"
"639","HETALB02","AP38","Haemoproteus"
"640","HIICT5","","Haemoproteus"
"641","HIICT2","","Haemoproteus"
"642","TURDUS2","","Haemoproteus"
"644","HIICT4","","Haemoproteus"
"647","HIPOL1","","Haemoproteus"
"648","HIICT3","","Haemoproteus"
"649","HIP2","","Haemoproteus"
"651","HIPOL2","","Haemoproteus"
"656","HIRUS04","","Haemoproteus"
"657","HIRUS08","","Leucocytozoon"
"658","SYBOR21","","Plasmodium"
"659","HIRUS06","","Plasmodium"
"660","HIRUS09","","Leucocytozoon"
"662","HIRUS03","","Haemoproteus"
"664","HIRUS01","","Haemoproteus"
"665","HIRUS05","","Haemoproteus"
"666","HIRUS11","","Leucocytozoon"
"669","HIRUS10","","Leucocytozoon"
"673","CATFUS18","CATFUS04","Leucocytozoon"
"677","CYCYA01","","Plasmodium"
"678","MYRMYO01","","Plasmodium"
"680","HYBOR01","Y","Leucocytozoon"
"681","HYBOR02","B2","Leucocytozoon"
"682","SATEC01","X","Leucocytozoon"
"684","HYPLEU02","","Haemoproteus"
"685","HYPHI07","","Haemoproteus"
"686","ZOSMAD01","MDG_H02,MDG_H04","Haemoproteus"
"688","HYPMA04","HYPMA02_MDG_P15","Plasmodium"
"692","PHICAS01","","Leucocytozoon"
"693","HYPMA03","MDG_L17","Leucocytozoon"
"695","HYPMA01","","Plasmodium"
"697","BUL2","H_3A,H_3B,H_3C","Haemoproteus"
"699","ICTVIR01","P8","Plasmodium"
"705","CXPIP12","","Plasmodium"
"706","HYPHI15","H15","Haemoproteus"
"707","HYPHI16","H16","Haemoproteus"
"708","HYPHI17","H17","Haemoproteus"
"709","HYPHI03","H3","Haemoproteus"
"711","JUHYE18","","Leucocytozoon"
"712","JUHYE19","","Leucocytozoon"
"713","ZOLEU02","L.AK18","Leucocytozoon"
"714","JUHYE12","","Haemoproteus"
"716","CATUST10","DEJU_CA_ELW_2H","Haemoproteus"
"720","GYMSAL01","","Haemoproteus"
"721","SPIPAS07","","Leucocytozoon"
"727","JUHYE03","H.AK08","Haemoproteus"
"728","SETCOR06","","Leucocytozoon"
"731","AFR006","","Plasmodium"
"733","RBS1","","Haemoproteus"
"734","BT5","","Leucocytozoon"
"735","RBS4","","Haemoproteus"
"736","RBS2","","Haemoproteus"
"737","LZFUS01","","Plasmodium"
"738","RBS5","H_20","Haemoproteus"
"739","PYCGPI03","62","Leucocytozoon"
"740","RBS3","","Haemoproteus"
"743","LEPCOR01","LEPIDO01","Plasmodium"
"744","LEPCOR04","","Plasmodium"
"746","TACRUB01","LECOR01","Plasmodium"
"750","LEPNAT01","","Plasmodium"
"752","THACAE01","","Plasmodium"
"753","XIPOCE02","","Haemoproteus"
"757","COLBF03","","Leucocytozoon"
"759","LICFRE01","AP45","Haemoproteus"
"762","LONCUC01","H_LONCUC01","Haemoproteus"
"771","LOXVIO01","","Haemoproteus"
"773","COFLA01","31","Haemoproteus"
"777","LULU1","","Haemoproteus"
"784","AFTRU5","","Plasmodium"
"785","BT6","","Plasmodium"
"788","BT1","","Leucocytozoon"
"791","BT8","","Plasmodium"
"797","GRW15","","Plasmodium"
"798","MAFUS04","5","Haemoproteus"
"799","MELNIG03","","Haemoproteus"
"800","MELNIG02","","Haemoproteus"
"801","MELNIG04","","Haemoproteus"
"802","MELVER01","","Haemoproteus"
"803","MELSTR04","","Haemoproteus"
"804","MELSTR02","","Haemoproteus"
"807","MELVER02","","Haemoproteus"
"810","MELMEG01","AP32","Haemoproteus"
"811","MELLEW01","AP44","Haemoproteus"
"818","MELMEL01","P_SOSP1","Plasmodium"
"824","MELMEL04","P_SOSP7","Plasmodium"
"826","TANICT01","MICMAR01","Haemoproteus"
"829","MIOSTR03","","Plasmodium"
"836","MOLBON04","H56","Haemoproteus"
"837","NEOTEM01","NEOTEM01","Haemoproteus"
"840","YWT4","","Plasmodium"
"841","YWT5","","Haemoproteus"
"843","YWT1","","Haemoproteus"
"845","YWT3","","Haemoproteus"
"846","COLL1","","Plasmodium"
"848","MOFLA01","","Leucocytozoon"
"851","SFC1","","Haemoproteus"
"852","SFC9","","Haemoproteus"
"853","SFC3","","Haemoproteus"
"854","SFC4","","Haemoproteus"
"856","SFC10","H190","Haemoproteus"
"860","MYARAL02","","Leucocytozoon"
"861","MYAUNI01","","Leucocytozoon"
"869","MYRHEM02","","Plasmodium"
"872","HYPSTR04","","Plasmodium"
"874","DETUR01","","Plasmodium"
"875","MYRAXI09","","Plasmodium"
"877","MYRAXI03","","Plasmodium"
"878","MYRAXI01","","Plasmodium"
"880","ISLHAU01","","Plasmodium"
"882","MYRSCH01","","Plasmodium"
"883","CHAAM01","PV45,PV45a","Plasmodium"
"884","CYAOLI04","PV25aL","Plasmodium"
"885","CINCHA01","PV41","Plasmodium"
"887","CINCHL01","","Plasmodium"
"889","CINCOQ01","P20","Plasmodium"
"894","NENOT04","","Haemoproteus"
"895","CYAOLI02","P49","Plasmodium"
"896","PLACAS02","PV23L","Plasmodium"
"897","CYAOLI10","PV30","Plasmodium"
"898","CYAOLI09","pCYOL2","Plasmodium"
"901","CYAOLI12","PV19L","Plasmodium"
"902","CYAOLI01","P38","Plasmodium"
"903","CYAOLI11","PV27L","Plasmodium"
"905","CYAOLI05","HV2L","Haemoproteus"
"907","NEOBS01","PV16aL,PV16bL,PV16L","Plasmodium"
"910","CYAOLI03","WAH14","Haemoproteus"
"911","CYAOLI06","HV4L","Haemoproteus"
"930","NEOFAS01","","Plasmodium"
"933","NEOFAS05","","Plasmodium"
"934","URANO02","H_Uan1","Haemoproteus"
"938","ALARV04","","Plasmodium"
"940","OCHLEU02","","Haemoproteus"
"941","OCHLEU01","OCHLEU03","Haemoproteus"
"944","ORORI01","","Haemoproteus"
"945","ORORI02","","Haemoproteus"
"946","PAPOL01","","Haemoproteus"
"947","PAPOL03","PAPOL03","Haemoproteus"
"948","PACPOL01","PAPOLY01","Haemoproteus"
"951","PARMON01","","Haemoproteus"
"954","PERATE09","","Leucocytozoon"
"958","PARUS7","","Leucocytozoon"
"960","PERATE06","H260","Leucocytozoon"
"962","BAEBIC04","","Plasmodium"
"967","BLUTI03","","Plasmodium"
"968","BLUTI10","","Plasmodium"
"969","PARUS6","","Haemoproteus"
"970","PARUS14","C103","Leucocytozoon"
"974","PARUS16","H073","Leucocytozoon"
"975","PARUS20","Ge066","Leucocytozoon"
"976","PARUS15","H021","Leucocytozoon"
"977","PARUS13","W019","Leucocytozoon"
"984","PARUS87","","Leucocytozoon"
"986","PARUS11","Ge022","Leucocytozoon"
"987","BLUTI05","","Plasmodium"
"988","BLUTI02","","Plasmodium"
"989","SYAT01","H105","Haemoproteus"
"990","PARUS12","Np083","Leucocytozoon"
"992","PARUS74","","Leucocytozoon"
"993","DELURB4","","Plasmodium"
"1000","PARUS18","H060","Leucocytozoon"
"1002","PARUS84","H366","Leucocytozoon"
"1004","PARUS4","","Leucocytozoon"
"1006","BLUTI04","","Plasmodium"
"1020","PARUS2","","Plasmodium"
"1024","PARUS25","","Leucocytozoon"
"1025","PARUS34","","Leucocytozoon"
"1031","PARUS33","","Leucocytozoon"
"1034","PARUS35","","Leucocytozoon"
"1036","PARUS81","H264","Leucocytozoon"
"1038","PARUS66","","Plasmodium"
"1043","PARUS36","","Leucocytozoon"
"1044","PARUS26","","Leucocytozoon"
"1045","PARUS28","","Leucocytozoon"
"1046","PARUS17","Ge35","Leucocytozoon"
"1050","PARUS37","","Leucocytozoon"
"1054","PARUS8","","Leucocytozoon"
"1065","EMCIR02","","Leucocytozoon"
"1068","PARUS69","H173","Leucocytozoon"
"1072","PAMEL01","H_4A,H_4B,H_4C,H_4D,H_4E,H_4F,H_4G,H_4H","Haemoproteus"
"1075","RS4","","Leucocytozoon"
"1078","PADOM05","","Haemoproteus"
"1082","PAHIS1","","Haemoproteus"
"1083","PADOM28","","Plasmodium"
"1087","PADOM03","","Haemoproteus"
"1093","PAGRI02","H206","Plasmodium"
"1095","PADOM22","","Haemoproteus"
"1096","PADOM08","","Plasmodium"
"1097","PAGRI01","","Haemoproteus"
"1102","PAHIS2","H210","Haemoproteus"
"1124","PENCYA01","","Haemoproteus"
"1125","PENCYA02","","Haemoproteus"
"1126","PERCAN01","L.AK10","Leucocytozoon"
"1127","PERCAN10","","Haemoproteus"
"1131","PHEMEL02","","Haemoproteus"
"1133","PHELUD01","","Leucocytozoon"
"1141","PHLNIG05","","Haemoproteus"
"1143","AUTPAR01","","Plasmodium"
"1144","PHLNIG03","","Plasmodium"
"1149","RS1","","Haemoproteus"
"1152","PHRFRU02","H08","Haemoproteus"
"1153","PHRFRU07","H41","Haemoproteus"
"1154","PHRFRU09","H43","Haemoproteus"
"1155","PHRFRU05","H31","Haemoproteus"
"1157","OCHOEN01","H28","Haemoproteus"
"1158","PHRPAT01","H02","Haemoproteus"
"1170","CWT4","HAE3","Haemoproteus"
"1171","GW1","HAE4","Haemoproteus"
"1172","CXPIP11","PLA1","Plasmodium"
"1173","ARAMAG01","PLA2","Plasmodium"
"1174","HLW1","","Haemoproteus"
"1175","GW5","HAE8","Haemoproteus"
"1180","PHSIB2","","Haemoproteus"
"1183","ORW1","PLA5","Plasmodium"
"1184","LCLW1","HAE7","Haemoproteus"
"1196","DIUDIU06","","Leucocytozoon"
"1197","PHYRAR01","","Leucocytozoon"
"1198","PHYRUT01","H61","Haemoproteus"
"1200","PICPIC01","","Leucocytozoon"
"1202","PIPMAC03","","Haemoproteus"
"1203","PIPMAC01","","Haemoproteus"
"1211","PIPARC03","PIPARC04","Leucocytozoon"
"1212","MONNIG01","","Plasmodium"
"1213","SETGRA02","","Leucocytozoon"
"1214","PIRFLA01","","Haemoproteus"
"1216","PIRFLA02","","Leucocytozoon"
"1217","SETAUD30","","Leucocytozoon"
"1219","PIRLUD03","","Leucocytozoon"
"1221","PIRLUD02","","Haemoproteus"
"1222","PIRLUD08","PIRLUD06","Haemoproteus"
"1223","PIRLUD01","","Haemoproteus"
"1224","PIOLI01","35","Haemoproteus"
"1225","PIRUB01","34","Haemoproteus"
"1229","PITDIC01","AP56","Haemoproteus"
"1232","VILWE04","WAH38","Haemoproteus"
"1233","VILWE3","","Haemoproteus"
"1234","MALNI02","WA22","Plasmodium"
"1247","PLOVEL01","P18","Plasmodium"
"1249","VIMWE1","","Haemoproteus"
"1251","POMHOR01","","Haemoproteus"
"1252","POOCAE01","","Leucocytozoon"
"1255","PREGUT01","","Plasmodium"
"1266","THAMB06","","Plasmodium"
"1268","PTIPER04","","Haemoproteus"
"1269","PTIPER03","","Haemoproteus"
"1270","BUL04","WA44","Plasmodium"
"1271","BUL05","WA45","Plasmodium"
"1273","BUL1","","Haemoproteus"
"1275","PYCCAF01","P-LIN24","Plasmodium"
"1277","PYRLEU02","","Plasmodium"
"1278","PYLEU01","PYLEU01","Plasmodium"
"1279","EMPALN02","","Haemoproteus"
"1286","PYRPYR01","H370","Leucocytozoon"
"1291","REB4","H4","Haemoproteus"
"1294","RBQ17","P4","Plasmodium"
"1295","RBQ01","","Haemoproteus"
"1296","RBQ02","P19","Plasmodium"
"1297","RBQ06","H7","Haemoproteus"
"1303","RAMCAR01","RAMCAR01","Plasmodium"
"1307","RIPRIP01","","Haemoproteus"
"1308","RIPRIP04","","Haemoproteus"
"1309","RIPRIP02","","Haemoproteus"
"1312","RIPRIP03","","Haemoproteus"
"1313","RIPRIP06","","Haemoproteus"
"1315","THCAE01","THCAE01","Plasmodium"
"1316","SALATR01","","Plasmodium"
"1329","SEINOV02","LVE6","Leucocytozoon"
"1330","SERCIT01","AP8","Haemoproteus"
"1331","SERCIT02","AP16","Haemoproteus"
"1332","SERPER01","","Haemoproteus"
"1334","CRIRUF02","L_CRIRUF02","Leucocytozoon"
"1339","SIAMEX03","","Leucocytozoon"
"1352","SITTAKRU1","","Haemoproteus"
"1359","SPIPAS09","","Leucocytozoon"
"1360","SIAMEX01","","Haemoproteus"
"1362","SPIPAS02","","Haemoproteus"
"1365","STANIG01","P-LIN32","Plasmodium"
"1368","SYBOR09","","Plasmodium"
"1371","MONMER01","","Haemoproteus"
"1372","MONCAC01","","Haemoproteus"
"1373","MONFAI02","","Haemoproteus"
"1376","STUSUP01","P13","Plasmodium"
"1379","LAMPUR01","","Haemoproteus"
"1380","SUISUI02","","Haemoproteus"
"1381","SYAT33","","Haemoproteus"
