"","X","tip","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","genus"
"31",911,"Junco hyemalis","Junco hyemalis","GEOTRI09","P04.B","Plasmodium","Junco hyemalis","Junco_hyemalis","yes","Junco hyemalis","GEOTRI09 Junco hyemalis","Junco"
"32",912,"Junco phaeonotus","Junco phaeonotus","SETCOR06","","Leucocytozoon","Junco phaeonotus",NA,NA,"Junco phaeonotus","SETCOR06 Junco phaeonotus","Junco"
"33",913,"Junco phaeonotus","Junco phaeonotus","CNEORN01","","Leucocytozoon","Junco phaeonotus",NA,NA,"Junco phaeonotus","CNEORN01 Junco phaeonotus","Junco"
"34",1007,"Melospiza lincolnii","Melospiza lincolnii","ZOLEU02","LISP_CA_ELW_9L","Leucocytozoon","Melospiza lincolnii","Melospiza_lincolnii","yes","Melospiza lincolnii","ZOLEU02 Melospiza lincolnii","Melospiza"
"35",1008,"Melospiza lincolnii","Melospiza lincolnii","BT7","P43,AMR.KGM64,P.AK01","Plasmodium","Melospiza lincolnii","Melospiza_lincolnii","yes","Melospiza lincolnii","BT7 Melospiza lincolnii","Melospiza"
"36",1009,"Melospiza lincolnii","Melospiza lincolnii","GEOTRI01","OZ06J620","Plasmodium","Melospiza lincolnii","Melospiza_lincolnii","yes","Melospiza lincolnii","GEOTRI01 Melospiza lincolnii","Melospiza"
"37",1010,"Melospiza lincolnii","Melospiza lincolnii","CNEORN01","","Leucocytozoon","Melospiza lincolnii","Melospiza_lincolnii","yes","Melospiza lincolnii","CNEORN01 Melospiza lincolnii","Melospiza"
"38",1011,"Melospiza lincolnii","Melospiza lincolnii","BAEBIC02","SOSP_CA3P","Plasmodium","Melospiza lincolnii","Melospiza_lincolnii","yes","Melospiza lincolnii","BAEBIC02 Melospiza lincolnii","Melospiza"
"39",1012,"Melospiza melodia","Melospiza melodia","CNEORN01","","Leucocytozoon","Melospiza melodia","Melospiza_melodia","yes","Melospiza melodia","CNEORN01 Melospiza melodia","Melospiza"
"40",1013,"Melospiza melodia","Melospiza melodia","PADOM11","","Plasmodium","Melospiza melodia","Melospiza_melodia","yes","Melospiza melodia","PADOM11 Melospiza melodia","Melospiza"
"41",1014,"Melospiza melodia","Melospiza melodia","APSPI03","P_SOSP4","Plasmodium","Melospiza melodia","Melospiza_melodia","yes","Melospiza melodia","APSPI03 Melospiza melodia","Melospiza"
"42",1015,"Melospiza melodia","Melospiza melodia","MELMEL01","P_SOSP1","Plasmodium","Melospiza melodia","Melospiza_melodia","yes","Melospiza melodia","MELMEL01 Melospiza melodia","Melospiza"
"43",1016,"Melospiza melodia","Melospiza melodia","MELMEL04","P_SOSP7","Plasmodium","Melospiza melodia","Melospiza_melodia","yes","Melospiza melodia","MELMEL04 Melospiza melodia","Melospiza"
"44",1017,"Melospiza melodia","Melospiza melodia","BAEBIC02","SOSP_CA3P","Plasmodium","Melospiza melodia","Melospiza_melodia","yes","Melospiza melodia","BAEBIC02 Melospiza melodia","Melospiza"
"45",1018,"Melospiza melodia","Melospiza melodia","GEOTRI09","P_SOSP2","Plasmodium","Melospiza melodia","Melospiza_melodia","yes","Melospiza melodia","GEOTRI09 Melospiza melodia","Melospiza"
"46",1019,"Melospiza melodia","Melospiza melodia","SEIAUR01","SPTO_CA_ELW_6P","Plasmodium","Melospiza melodia","Melospiza_melodia","yes","Melospiza melodia","SEIAUR01 Melospiza melodia","Melospiza"
"47",1020,"Melospiza melodia","Melospiza melodia","RWB01","D1","Plasmodium","Melospiza melodia","Melospiza_melodia","yes","Melospiza melodia","RWB01 Melospiza melodia","Melospiza"
"48",1327,"Passerculus sandwichensis","Passerculus sandwichensis","CB1","","Leucocytozoon","Passerculus sandwichensis","Passerculus_sandwichensis","yes","Passerculus sandwichensis","CB1 Passerculus sandwichensis","Passerculus"
"49",1328,"Passerculus sandwichensis","Passerculus sandwichensis","ACAFLA03","","Leucocytozoon","Passerculus sandwichensis","Passerculus_sandwichensis","yes","Passerculus sandwichensis","ACAFLA03 Passerculus sandwichensis","Passerculus"
"50",1329,"Passerculus sandwichensis","Passerculus sandwichensis","ZOLEU02","L.AK18","Leucocytozoon","Passerculus sandwichensis","Passerculus_sandwichensis","yes","Passerculus sandwichensis","ZOLEU02 Passerculus sandwichensis","Passerculus"
"51",1330,"Passerculus sandwichensis","Passerculus sandwichensis","CNEORN01","SASP_CA_ELW_8L","Leucocytozoon","Passerculus sandwichensis","Passerculus_sandwichensis","yes","Passerculus sandwichensis","CNEORN01 Passerculus sandwichensis","Passerculus"
