"","Lineage_Name","Alt_Lineage_Name","parasiteGenus"
"191","COLBF21","","Leucocytozoon"
"192","BAREGI01","","Leucocytozoon"
"193","BAREGI06","","Haemoproteus"
"194","BAREGI08","","Haemoproteus"
"196","GEOTRI02","","Plasmodium"
"197","PADOM09","PADOM09","Plasmodium"
"198","VOLJAC02","BAFLA03","Plasmodium"
"199","PHPAT01","PHPAT01","Plasmodium"
"200","BAFLA01","BAFLA01","Plasmodium"
"205","FOMAD01","","Leucocytozoon"
"208","BERZOS01","","Plasmodium"
"211","STRURA03","Haplotype C","Haemoproteus"
"213","STVAR01","41","Haemoproteus"
"214","BUVIR02","","Leucocytozoon"
"216","BUTBUT07","","Leucocytozoon"
"218","BUBT1","","N/A"
"221","BUBT2","","Leucocytozoon"
"222","BUTJAM07","","Leucocytozoon"
"227","CALMAD01","","Leucocytozoon"
"228","STNT01","","Plasmodium"
"229","KOKAKO01","","Plasmodium"
"231","CAMRUB03","","Haemoproteus"
"232","CAOBS01","CAOBS01","Plasmodium"
"235","CARCAR05","","Leucocytozoon"
"237","DUMCAR01","","Leucocytozoon"
"238","PADOM11","","Plasmodium"
"239","CARBAR02","","Leucocytozoon"
"240","LINN1","","Plasmodium"
"242","CARCHL01","H147","Haemoproteus"
"247","CARCHL02","H148","Haemoproteus"
"248","CCF3","","Haemoproteus"
"249","ACAFLA03","","Leucocytozoon"
"250","CARFLA03","L.AK12","Leucocytozoon"
"251","ROFI6","2012haploROF16","Leucocytozoon"
"252","SISKIN1","SISKIN1","Haemoproteus"
"253","CB1","ICBI,L fringillinarum,L.AK04","Leucocytozoon"
"254","ACAFLA02","","Leucocytozoon"
"255","SPIARB01","H.AK06","Haemoproteus"
"256","TRPIP2","TRPIP2","Leucocytozoon"
"257","PYERY01","PYERY01","Haemoproteus"
"258","SPIPAS01","","Haemoproteus"
"259","SPISAL02","","Haemoproteus"
"260","SPISAL01","","Haemoproteus"
"264","ROFI2","","Haemoproteus"
"266","PADOM02","","Plasmodium"
"268","MOLATE01","P2","Plasmodium"
"273","ELALB01","ELALB01","Haemoproteus"
"274","DIGCAE01","","Haemoproteus"
"275","CATANA01","","Haemoproteus"
"276","CATAUR01","","Haemoproteus"
"277","CATFUS22","","Leucocytozoon"
"279","CATMIN05","","Leucocytozoon"
"280","CATGUT02","L.AK01","Leucocytozoon"
"282","TUMIG07","H.AK01,H.AK17","Haemoproteus"
"283","CATMIN01","L.AK06","Leucocytozoon"
"284","CATUST11","MD-2011.SWTH.AKCR.LIN.15L","Leucocytozoon"
"285","CATUST09","","Leucocytozoon"
"286","PHYBOR04","","Haemoproteus"
"287","TUPHI01","","Haemoproteus"
"288","HYLMUS02","","Leucocytozoon"
"291","POEATR01","H.AK03,H.AK10,H.AK16","Haemoproteus"
"292","COLL2","","Haemoproteus"
"293","CATMIN02","L.AK07","Leucocytozoon"
"294","POEHUD01","L.AK03,L.AK20,L.AK21,L.AK22","Leucocytozoon"
"296","CATUST06","","Plasmodium"
